2026/09/17 14:18:54 migrations applied
2026/09/17 14:18:54 metrics listening on :9101
2026/09/17 14:18:54 REST UserService listening on :8091
2026/09/17 14:18:54 gRPC UserService listening on :50061
[GIN] 2026/09/17 - 14:19:01 | 200 |      61.853µs |       127.0.0.1 | GET      "/healthz"
[GIN] 2026/09/17 - 14:19:12 | 200 |    9.705185ms |       127.0.0.1 | GET      "/v1/drivers?status=available&limit=1"
[GIN] 2026/09/17 - 14:20:07 | 200 |    2.189347ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:04 | 200 |    4.690193ms |       127.0.0.1 | GET      "/v1/drivers?page_size=3"
[GIN] 2026/09/17 - 14:21:05 | 200 |    2.681195ms |       127.0.0.1 | GET      "/v1/drivers?page_size=1"
[GIN] 2026/09/17 - 14:21:05 | 200 |    2.265088ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:05 | 200 |    3.026759ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:06 | 200 |    2.105623ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:07 | 200 |    1.215267ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    2.727304ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    1.826781ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    1.215316ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |     2.41014ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    1.673056ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    1.585121ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    1.863903ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    1.824197ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    1.213999ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    2.172802ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=20"
[GIN] 2026/09/17 - 14:21:10 | 200 |    1.043956ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:10 | 200 |    1.919184ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:12 | 200 |    2.232048ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:12 | 200 |    2.180574ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.747271ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.556575ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:12 | 200 |    2.281293ms |       127.0.0.1 | GET      "/v1/drivers/8554224f-316e-4144-ab78-63d7b3dd2cf1"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.612833ms |       127.0.0.1 | GET      "/v1/drivers/8554224f-316e-4144-ab78-63d7b3dd2cf1"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.348324ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:12 | 200 |     1.34574ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.437578ms |       127.0.0.1 | GET      "/v1/drivers/8554224f-316e-4144-ab78-63d7b3dd2cf1"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.409225ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.296432ms |       127.0.0.1 | GET      "/v1/drivers/8554224f-316e-4144-ab78-63d7b3dd2cf1"
[GIN] 2026/09/17 - 14:21:13 | 200 |     980.246µs |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:13 | 200 |     1.16889ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.157793ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.227329ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.176239ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.139921ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.151031ms |       127.0.0.1 | GET      "/v1/drivers/8554224f-316e-4144-ab78-63d7b3dd2cf1"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.186892ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.198874ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:14 | 200 |    1.015019ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:14 | 200 |      989.06µs |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.461868ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.129009ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:15 | 200 |    1.335161ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:16 | 200 |    1.246129ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:17 | 200 |    1.079989ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:17 | 200 |    1.142745ms |       127.0.0.1 | GET      "/v1/drivers/8554224f-316e-4144-ab78-63d7b3dd2cf1"
[GIN] 2026/09/17 - 14:21:17 | 200 |    1.222328ms |       127.0.0.1 | GET      "/v1/drivers/8554224f-316e-4144-ab78-63d7b3dd2cf1"
[GIN] 2026/09/17 - 14:21:17 | 200 |    1.288488ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:17 | 200 |    1.533255ms |       127.0.0.1 | GET      "/v1/drivers/73b2ea7a-6e69-4df4-b9a5-e4c074747cd7"
[GIN] 2026/09/17 - 14:21:17 | 200 |    1.164412ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:17 | 200 |    1.484642ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
[GIN] 2026/09/17 - 14:21:17 | 200 |    1.353265ms |       127.0.0.1 | GET      "/v1/drivers/7e44388a-14dd-48e7-b5a7-19c30819e098"
