2026/09/17 14:18:54 migrations applied
2026/09/17 14:18:54 metrics listening on :9102
2026/09/17 14:18:54 REST UserService listening on :8092
2026/09/17 14:18:54 gRPC UserService listening on :50062
[GIN] 2026/09/17 - 14:19:01 | 200 |      65.384µs |       127.0.0.1 | GET      "/healthz"
[GIN] 2026/09/17 - 14:19:12 | 200 |    9.788922ms |       127.0.0.1 | GET      "/v1/drivers?status=available&limit=1"
[GIN] 2026/09/17 - 14:20:07 | 200 |    2.953131ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:05 | 200 |    4.954608ms |       127.0.0.1 | GET      "/v1/drivers?page_size=3"
[GIN] 2026/09/17 - 14:21:05 | 200 |    2.802395ms |       127.0.0.1 | GET      "/v1/drivers?page_size=1"
[GIN] 2026/09/17 - 14:21:05 | 200 |    1.963353ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:05 | 200 |    1.847978ms |       127.0.0.1 | GET      "/v1/drivers/bcf09afa-0f1e-4337-887d-9db9bd01f77a"
[GIN] 2026/09/17 - 14:21:07 | 200 |     2.37186ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    1.758116ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:07 | 200 |    2.440825ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    1.563009ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    1.199277ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    1.409664ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    1.183697ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:21:08 | 200 |    3.042145ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=20"

2026/09/17 14:21:10 [31;1m/home/multivader/programs/TaxiApp/Triply-User/internal/infrastructure/postgresrepo/driver.go:60 [35;1mfailed to connect to `user=postgres database=postgres`: 127.0.0.1:5442 (127.0.0.1): dial error: dial tcp 127.0.0.1:5442: connect: connection refused
