2026/09/17 14:18:54 migrations applied
2026/09/17 14:18:54 REST UserService listening on :8090
2026/09/17 14:18:54 metrics listening on :9100
2026/09/17 14:18:54 gRPC UserService listening on :50060
[GIN] 2026/09/17 - 14:21:12 | 200 |    2.007554ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.180046ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.657604ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |     998.659µs |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.477991ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.636416ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.506701ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.219618ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:12 | 200 |    1.226566ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |     1.29421ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.050212ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.161462ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.436596ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.657333ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.174145ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |     1.76465ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.274453ms |       127.0.0.1 | GET      "/v1/drivers/5598f1a2-db5f-4b49-a716-ee3bb054dd9b"
[GIN] 2026/09/17 - 14:21:13 | 200 |    1.228524ms |       127.0.0.1 | GET      "/v1/drivers/b4dc35bc-c792-41a8-ac9a-e8e676fd7d39"
