2026/09/17 14:18:54 migrations applied
2026/09/17 14:18:54 metrics listening on :9103
2026/09/17 14:18:54 REST UserService listening on :8093
2026/09/17 14:18:54 gRPC UserService listening on :50063
[GIN] 2026/09/17 - 14:21:18 | 200 |    1.125571ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:21:18 | 200 |    1.435999ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:21:18 | 200 |    1.299964ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:21:18 | 200 |    1.170936ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:21:18 | 200 |    1.195964ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:21:18 | 200 |    1.517088ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:21:18 | 200 |    1.491447ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:21:18 | 200 |    1.217523ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:21:19 | 200 |    1.257709ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:21:19 | 200 |    1.216785ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:21:19 | 200 |    1.819013ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:21:19 | 200 |    1.027507ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:21:19 | 200 |    1.402285ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:21:19 | 200 |    1.513612ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:21:20 | 200 |     878.551µs |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:21:20 | 200 |    2.666262ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:21:21 | 200 |    1.059373ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:21:21 | 200 |    1.127141ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:15 | 200 |    2.719727ms |       127.0.0.1 | GET      "/v1/drivers?page_size=3"
[GIN] 2026/09/17 - 14:22:15 | 200 |    3.232346ms |       127.0.0.1 | GET      "/v1/drivers?page_size=1"
[GIN] 2026/09/17 - 14:22:15 | 200 |     2.54881ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:22:15 | 200 |     1.56282ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:17 | 200 |    2.580565ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:22:18 | 200 |    1.836806ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:22:18 | 200 |    1.707542ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:22:18 | 200 |    1.917976ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:22:18 | 200 |    3.478412ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=20"
[GIN] 2026/09/17 - 14:22:20 | 200 |    1.256058ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:20 | 200 |    2.018882ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:22:22 | 200 |    1.142718ms |       127.0.0.1 | GET      "/v1/drivers?status=available&page_size=1"
[GIN] 2026/09/17 - 14:22:22 | 200 |    1.032629ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:22 | 200 |     834.587µs |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:22:22 | 200 |     822.094µs |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:22:22 | 200 |    1.269798ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:22:23 | 200 |     803.096µs |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:23 | 200 |     996.479µs |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:23 | 200 |     1.08228ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:23 | 200 |     1.28272ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:23 | 200 |    1.488323ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:23 | 200 |     825.085µs |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:24 | 200 |     957.202µs |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
